name,description
Dragonclaw Shield,"Greatshield said to have been whittled from the claw of a great, ancient dragon, wielded by grotesque Tree Sentinels who yet serve the Edrtree. Imbued with lightning."
Golden Beast Crest Shield,"Shield of dull gold with a beast engraved as its crest. Lighter than most greratshields, and subsequently easier to wield. The beast depicted is Serosh, aged counselor who guides the golden lineage."
Erdtree Greatshield,"Weighty greatshield forged of gold carried by the order of Tree Sentinels, heavily equipped knights. Blessed by an old incantation of protection. The living rampart of the Erdtree, the Tree Sentinels are the standard to which all defenders of the Erdtree aspire."
Briar Greatshield,"Greatshield from a foreign land, used by Elemer of the Briar. Attacks with this armament utilize the iron thorns that have been wound around its frame. Originates from Eochaid, a land of proudly solitary ascetics."
Jellyfish Shield,"The head of a spirit jellyfish, commonly found floating above sacred ground throughout the Lands Between, wielded without modification as a shield. The see-through head is extremely light, but its flesh is supple, providing absolutely no protection from piercing attacks"
Fingerprint Stone Shield,"A great stone shield with an intricately carved fingerprint design. One of the heaviest of all greatshields. Part of the tomb of an ancient god, the Readerless Fingers relayed their message through these imprints, said to be the very seeds from which frenzy first sprouted."
Icon Shield,Greatshield painted with a divine scene; the recipients of a blessed tear from the Erdtree. An item that looks back fondly on the age of plenty. The divine scene acts in and of itself as a sacred invocation; gradually restoring the carrier's HP.
Visage Shield,"Tricksome bronze shield depicting the face of a Fire Giant. Several tongues leap from its open mouth. The dreadful visage and burning flames are designed to remind one of the horror of facing a Fire Giant. In other words, this shield has an instructional function."
One-eyed Shield,"Tricksome shield made from white stone depicting a malformed one-eyed god. The barrel of a firearm pokes through the open mouth. Once worshipped by the giants, this evil deity is believed to have been slain by Queen Marika. "
Spiked Palisade Shield,"Designed to perform shield bashes, these attacks riddle the enemy with holes, earning it the nickname of ""pard shield"""
Manor Towershield,"An iron greatshield large enough to cover the entire body. Depicts the Roundtable Hold, gathering place of champions. Greatshields boast high damage negation and guard capacity, making enemy attacks easy to repel."
Crossed-tree Towershield,"An iron greatshield large enough to cover the entire body. Emblazoned with an old, interleaving tree. Greatshields boast high damage negation and guard capacity, making enemy attacks easy to repel"
Redmane Greatshield,"Greatshield shaped like a fang, featuring the crest of red-maned lion. Carried by the Redmane Knights who fought alongside Radahn."
Ant's Skull Plate,"Huge head of one of the giant ants which inhabit the two underground rivers, used without modification as a shield. Excels at repeling enemy attacks. Giant ants are venomous creatures, granting a boost to immunity when wielding the shield. "
Inverted Hawk Towershield,"An iron greatshield large enough to cover the entire body. Features an inverted hawk crest. Greatshields boast high damage negation and guard capacity, making enemy attacks easy to repel."
Eclipse Crest Greatshield,"Metal greatshield painted with a sun in eclipse. Carried by the headless mausoleum knights. The eclipsed sun, drained of color, is the protective star of soulless demigods. It aids the mausoleum knights by keeping Destined Death at bay. No skill. This armament has no skill. If the armament in the other hand has a skill, that skill will be used instead."
Cuckoo Greatshield," Metal Greatshield painted with a peering cuckoo. Carried by the enchanted knights sworn to the academy. Boasting high magic damage negation, this shield is used to hunt down mages. Our Enemys is none other then caria itself"
Gilded Greatshield,Metal greatshield coated with gold. Carried by knights loyal to Godrick. The red tinge in the gold coat mirrors the primordial matter that became the Erdtree. The color of homeward yearning.
Golden Greatshield,"Oval greatshield made of gold, carried by knights who protect the Royal Capital of Leyndell. Knights of Leyndell are reputed for their sturdiness, exemplified by this shield's exceptional guard capacity."
Haligtree Crest Greatshield,"Metal greatshield depicting the Haligtree with unalloyed gold. Carried by knights who have vowed to serve Miquella's Haligtree. Possesses high holy damage negation. Yet now, with the Haligtree misshapen, this wondrous rendition is a fleeting fantasy."
Wooden Greatshield,"Wooden greatshield reinforced with a metal ornamentation. Greatshields boast high damage negation and guard capacity, making enemy attacks easy to repel."
Lordsworn's Shield,"Wooden tower shield. Lightweightfor a greatshield and easy to handle. Commonly used in the Shattering. Greatshields boast high damage negation and guard capacity, making enemy attacks easy to repel."
