name,description
Horn Bow,Longbow made from animal horn. Wielded by the master hunters of the ancestral followers.  Imbues arrows fired with magic damage. Reveals its true worth when used magic-infused arrows. 
Serpent Bow,"Malformed bow in the shape of a pair of poisonous snakes. Imbues arrows with poison through pagan magic, revealing its true worth when used with poison-infused arrows. Used by assassins known as the Formless Serpents."
Pulley Bow,"Longbow which utilizes a series of pulleys and strings. The complex mechanism, which required advanced mathematical and mechanical understanding to craft, was likely made by a certain genius who learned Golden Order Fundamentalism.  Enhances precision while shooting, enabling arrows to fly much further distances. "
Black Bow,"Longbow carved from black wood to resemble a blade. One of the most difficult bows to master. The blade-like body of the bow is light and cuts through the air. Though a longbow, it can be wielded similarly to a shortbow."
Bloodhound Claws,Large curved claws used by Bloodhound Knights. The curve allows the weapon to slip through an enemy's guard.
Venomous Fang,One of the weapons designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. The black fang protruding from the bronze snake head is coated in deadly poison.
Hookclaws,"Weapon worn on the fist comprised of sharp parallel blades favored by those who lurk in the dark. Lacerations cause blood loss with great effect.  Claw weapons come in pairs, and two-handing this weapon will equip it to both hands."
Raptor Talons,"Claw comprised of two sharp, thin blades, wielded by the assassins of Ravenmount, this weapon allows them to imitate the attacks of Deathbirds. Besides excelling at airborne attacks, its charge attack mimics the vicious swoop of a bird of prey. "
Watchdog's Greatsword,"Stone greatsword wielded by Erdtree Burial Watchdogs. Though decorated with the watchman's eye, the pupil was taken by graverobbers and is now hollow, leaving this sword a mere lump of stone."
Greatsword,"A coarse iron lump of an ultra greatsword. Mows down foes by utilizing its incredible weight. Though handling it likely requires the wielder to have surpassed the realm of the merely human, it is precisely for this reason the weapon is used to slaughter even inhuman foes."
Troll's Golden Sword,"Sword given to the giants who fought for the Erdtree during the War against the Giants long ago. Though the giants have lost their minds, they stay inseparable from their swords that are in sad shape—such that the gold plating had flaked away."
Maliketh's Black Blade,"Maliketh's black blade which once harbored the power of the Rune of Death. A sad shadow of its former glory. After a fragment of Death was stolen on that fateful night, Maliketh bound the blade within his own flesh, such that none might ever rob Death again."
Zweihander,"Just about the largest sword a mere man is capable of swinging. True to its name, it is designed to be wielded in both hands, but those of merely ordinary strength will still struggle to do so. The long blade is heavy and sharp, sending foes reeling back with its broader strokes, while also capable of a devastating piercing thrust."
Royal Greatsword,"Greatsword decorated in royal Carian Style. Favored weapon of Blaidd the Half-Wolf. In defiance of the fate he was born to, Blaidd swore to serve no master but Ranni. As proof. the sword was imbued with a cold magic at the moment oath was sworn."
Godslayer's Greatsword,Sacred sword of the Dusk-Eyed Queen who controlled the Godskin Apostles before her defeat at the hands of Maliketh. The black flames wielded by the apostles are channeled from this sword.
Grafted Blade Greatsword,"The storied sword of Castle Morne. A revenger's weapon, it is burdened with oceans of anger and regret.  One of the legendary armaments.  A lone surviving champion from a country now vanished was so determined to continue fighting that he claimed the swords of an entire clan of warriors."
Ruins Greatsword,"Originally rubble from a ruin which fell from the sky, this surviving fragment was honed into a weapon. One of the legendary armaments. The ruin it came from crumbled when struck by a meteorite, as such this weapon harbords its destructive power."
Starscourge Greatsword,"Curved greatswords of black steel wielded by General Radahn. A pair of weapons decorated with a lion mane motif. Radahn earned considerable renown as the Starscourge in this youth, and it is said that it was during this time he engraved the gravity crest up these blades. "
Troll Knight's Sword,"Greatsword embedded with a blue glintstone. Weapon of the trolls in service to the royal family of Caria. Called into service when the Queen invoked an oath they swore, the trolls are treated as true knights of Caria, and fight arm in arm with their human comrades."
Watchdog's Staff,"Large stone staff embedded with glintstone. Wielded by Erdtree Burial Watchdogs who protect catacombs. The Watchdogs, battered and broken over their lengthy tenure, rule the catacombs and are even said to command the imps. Unique Skill: Sorcery of the Crozier Channel magic into the glintstone to activate an ancient sorcery, producing floating magic projectiles that chase enemies automatically."
Envoy's Greathorn,"Fanned golden horn of the Oracle Envoys. Profoundly weighty, its blows are sure to be felt. Originally an instrument, but one that cannot be sounded by a mere human. Or perhaps it is too early to sound the call."
Great Club,"An enormous club of hardwood. Wildly hammering foes with this striking weapon requires no dexterity; only brute force. While it may seem sacrilegious, this weapon is said to be a withered branch of the Erdtree. Imbued with holy power, this weapon will never snap. "
Prelate's Inferno Crozier,"Colossal hammer with the appearance of roiling flames. Weapon of the Prelates who lead the Fire Monks. Its heft represents the weight of their guardianship.  The hammer's head is unusually substantial, and strong attacks' will fling foes into the air."
Duelist Greataxe,"Greataxe designed for gladiatorial combat. Used by duelists who were exiled from the colosseum. A weapon reserved for duelist champions, the charge attack is particularly ferocious. "
Axe Of Godfrey,"Weapon of Godfrey, Elden Lord. It was broken in a battle fought as leader of the Tarnished during the Long March. This weapon is symbolic of Godfrey's vow to conduct himself as a lord, later becoming an emblem of the golden lineage. In the days of the past, a crown was warranted with strength. "
Dragon Greatclaw,"Weapon said to have been whittled from the claw of a great, ancient dragon, wielded by grotesque Tree Sentinels who yet serve the Erdtree. The claw is enwreathed with lightning,and tears through the dragons' feeble descendants with ease."
Fallingstar Beast Jaw,"Part of a Falling star Beast's jaw, hard and shining black, fashioned into a weapon.  With its sharp point, this colossal weapon can skewer foes. "
Staff Of The Avatar,"Ceremonial staff depicting the Erdtree in its historic radiance. Wielded by the avatars who protect the Minor Erdtrees. The avatars, emerging in the wake of the Elden Ring's shattering, were determined to protect the withering Erdtree's offspring."
Ghiza's Wheel,Great iron wheel lined with flesh-flaying blades. Device of torture used by Inquisitor Ghiza. As the wheel spins it causes severe pain and blood loss. The design was adopted for use as the iconic weapon wielded by Iron Virgins. 
Giant-crusher,"A hammer made from a boulder, used in the War against the Giants. One of the heftiest weapons in the entire Lands Between. After the giants were quelled, and man turned against man in violence, this weapon was all but forgotten. Man has grown feeble in comparison to his forebears. "
Golem's Halberd,A great halberd of black stone crafted by a civilization now gone to ruin. Wielded by the Guardian Golem. 
Troll's Hammer,"Mining tool of stonedigger trolls used to crack bedrock.  Trolls are descended form the giants, and these were supposedly once used as ceremonial smithing tools. In the distance past, smithing was considered divine. "
Rotten Staff,Ceremonial staff depicting the Erdtree in its historic radiance. It festers with scarlet rot. Wielded by the avatars who protect the Minor Erdtrees.
Rotten Greataxe,"Greataxe designed for gladiatorial combat, now festering with scarlet rot. Used by duelists who were exiled from the colosseum."
Soldier's Crossbow,"A crossbow of simple make, usable by anyone, but lacking in both power and accuracy. Bolts must be equipped to use a crossbow."
Light Crossbow,"Ranged weapoon made from a bow fixed to a stock. Deals good damage and is simple to use, but requires reloading after firing. Bolts must be equipped to use a crossbow."
Heavy Crossbow,"Heavy crossbow with iron limbs, increasing damage dealt. Commonly employed in the Shattering."
Pulley Crossbow,"Crossbow made with pulleys and power springs. The complex mechanism, which required advanced mathematical and mechanical understanding to craft, was likely made by a certain genius who learned Golden Order fundamentalism.   One touch fires a volley of bolts. Be warned; large stores of bolts can be quickly spent."
Full Moon Crossbow,"One-of-a-kind enchanted crossbow of exquisitely detailed craftsmanship. Made to celebrate the matrimonial union, and reconciliation, between the houses of the Erdtree and the Full Moon, Leyndell and Raya Lucaria. The two rings dance when reloading the weapon. Reveals true worth when used with holy- infused bolts."
Onyx Lord's Greatsword,"Greatsword forged from golden-hued meteoric ore.  The blade conceals gravity-manipulating magic. A weapon unique to the Onyx Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago. "
Crepus's Black-key Crossbow,"Black crossbow featuring a long stock. Used for sniping, it has a very long range. Weapon of Crepus, who served the Two Fingers from the shadows of the Roundtable as the head confessor."
Arbalest,"Large crossbow made from composite materials. One of the largest of all bolt.firing devices. Its limbs are more pliable than metallic ones, allowing bolts fired from this weapon to pierce even forged of steel."
Bloodhound's Fang,Curved greatsword with a gently undulating blade wielded by Bloodhound Knights. A fearsome blade capable of brutal airborne attacks.
Dismounter,"This curved greatsword wielded by the brawny sellswords of Kaiden combines the blades of a scimitar with the heft of a hatchet.  A difficult to handle weapon that demands much of the wielder's strength and dexterity, but with practice and ability, it can serve as a versatile weapon even on horseback. "
Magma Wyrm's Scalesword,"Curved greatsword wielded by Magma Wyrms. The shape resembles a dragon's jaw and is covered in hard scales. It's said these land-bound dragons were once humans heroes who partook in dragon communication, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves."
Omen Cleaver,"Heavy-bladed curved sword of colossal size awarded to Omen as a tool of war. This weapon is made to take advantage of brute strength.  The pattern etched upon the blade is the remnant of a deteriorating malediction. Indeed, when bestowing a weapon, preparations must be made for taking it away."
Zamor Curved Sword,"Weapon wielded by the knights of Zamor who earned great renown during the War against the Giants. In apparent devotion to winter, the curved blade is styled after an icy wind and imbued with a powerful frost effect."
Monk's Flameblade,Curved sword with a flickering flame motif. Wielded by the Fire Monks who came from the Mountaintops of the Giants. The monks came to the land of Liurnia in pursuit of a fugitive who stole their fire.
Beastman's Cleaver,"Curved greatsword of colossal size forged of dull iron and wielded by the beastmen of Farum Azula. The blade is incredibly heavy, but well-balanced. Comparatively easy to wield for the damage it delivers. It's clear the beastmen possess knowledge beyond human ken."
Morgott's Cursed Sword,"Warped blade of shifting hue used by Morgott, the Omen King.  The accused blood that Morgott recanted and sealed away reformed into this blade. "
Falchion,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against thick armor and hides covered in tough scales. Wielders of the weapon employ a unique style that enhances attacks with spinning motions."
Shamshir,"Curved sword with a thin blade of ample length. Light of weight despite its larger size, its slicing attacks come in rapid succession. A devastatingly powerful weapon in the hands of a skilled swordsman."
Beastman's Curved Sword,Curved sword forged of dull iron wielded by the beastmen of Farum Azula. The blade is heavy but well-balanced. Comparatively easy to wield for the damage it delivers.
Shotel,"Curved sword with a severely hooked blade. Its attacks can slip through an enemy's guard.  Made to hunt down humans, this weapon requires high dexterity to wield efficiently. "
Magma Blade,"Curved sword with a blade fashioned from the lava of Mt. Gelmir. An armament of the man-serpents, impossible for a human to have made. Deals fire damage."
Flowing Curved Sword,"Legends speak of a master of the sword garbed in blue, and his curved blade that was patterned after flowing water. Strong attack unleashes a series of strikes akin to a dance, offering a glimpse into the legend. Skill: Spinning Slash Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack."
Wing Of Astel,"Sword fashioned from a delicate wing, suffused with the magic of the stars. Strong attack unleashes a wave of enchanted light. Crafted from a relic of the Naturalborn of the Void who is said to have assailed the Eternal City."
Eclipse Shotel,"Storied sword and treasure of Castle Sol that depicts an eclipsed sun drained of color. One of the legendary armaments. In Sol, the sight of an eclipse inspires a dreadful awe, preventing an onlooker from averting his gaze."
Serpent-god's Curved Sword,"Curved sword fashioned in the image of an ancient serpent deity and tool of a forgotten religion practiced on Mt. Gelmir. Formerly used to offer up sacrifices, this sword restores HP upon slaying an enemy."
Scavenger's Curved Sword,"Unique curved sword, notched like shark's teeth. Weapon carried by corpse pillagers who prowl the sites of old battles. The blade is tacky with blood and covered in hefty nicks, making it totally uneven. Life can be sinister indeed."
Mantis Blade,"A curved sword with a blade at both ends wielded by the Cemetery Shades, the insect-ridden grave keepers.  The blade is thin and sharp, and strong attack unleashes a far-reaching slash."
Scimitar,"A curved sword with a single-sided blade. Delivers slashing attacks with its sharp blade, but is ineffective against armor and hides covered in tough scales. Smaller in size than most curved swords, it carves into enemies with quick, sharp cuts."
Nox Flowing Sword,"A grim weapon wielded by swordsmen of the Eternal City, this shotel has a blade as fine as a needle. Forged from the liquid metal of a Silver Tear, it is thoroughly tempered until hardened"
Dagger,"A standard dagger with a straight blade.  Though modest in reach and capacity fo harm, this weapon is light enough to jab in rapid succession and delivers devastating critical hits. "
Grossmesser,Curved sword boasting a large blade.  This weapon is designed to make use of its weight in combination with its sharp cutting edge.  A thoroughly reliable choice of weapon for those who can master its particulars. 
Black Knife,Dagger once belonging to one of the assassins who murdered Godwyn the Golden on the Night of the Black Knives.  A ritual performed on the oddly misshapen blade imbued it with the power of the stolen Rune of Death. 
Parrying Dagger,"A knife with curved handguards. Designed to parry, turning foes' attacks against them.  For master of combat who anticipate every enemy strike and counter accordingly, this weapon is all they need. "
Miséricorde,"Dagger favored by military physicians in white.  The pointed blade is hard and sharp, making critical hits especially potent.  Medicine is mercy. and mercy upon the battlefield is ruthless. Beware the killers clothes as men of compassion"
Reduvia,"Jagged dagger with a distinctive curled blade. Carried by the noble servants of the Lord of Blood. This dagger rips the flesh as it enters, inflicting blood loss with sickening efficacy. A proud testament to the success of its vicious design, this weapon is perpetually coated in blood."
Crystal Knife,"A knife made by sharpening hard crystal. Signature weapon of glintstone miners.  Used as a tool to extract glintstone from broken rock, and as such a faint magic enwreathes the blade."
Celebrant's Sickle,Sickle decorated with flowers and many-coloured fabrics. Ceremonial tool used by dancers during the festivities of Dominula. Its attacks can slip through an enemy's guard. Crafted from human bone. Grants trace amounts of runes on landing attacks.
Glintstone Kris,"Ritual blade once presented to Leyndell by the Academy of Raya Lucaria to celebrate their newfound peace. Though the weapon is embedded with precious glintstones and features Erdtree ornamentation, the undulating blade is symbolic of an ancient ritual."
Scorpion's Stinger,"Dagger fashioned from a great scorpion's tail, glistening with scarlet rot. A ceremonial tool used by heretics, crafted from the relic of a sealed outer god."
Great Knife,"Large knife with a broad, curved blade. This weapon is designed to Spinning Slash and rend, inflicting blood loss upon the recipient. "
Wakizashi,"Short sword with a tempering pattern on the blade. A weapon unique to warriors of the Land of Reeds. Afflicts targets with blood loss. These swords are considered auxiliary weapons. Yet, one man is known to wield this weapon in his left hand while using a full-sized katana in his right. A demonic swordsman known only as Okina."
Cinquedea,"Short sword given to high ranking clergymen of Farum Azula. Raises potency of bestial incantations. The design celebrates a beast's five fingers, symbolic of the intelligence once granted upon their kind."
Ivory Sickle,"Sickle fashioned form ivory.  Weapon carried by aged Albunaurics. These weapons re evidence of their dedication to the Haligtree, despite never having entered its presence. "
Erdsteel Dagger,"An erdsteel dagger with a grass crest engraved upon its blade. Carried by the Erdtree royalty for self-defense in times of peace.  Though forged to a high standard, the weapon is difficult to wield.  Attack power also scales with faith. "
Blade Of Calling,"Dagger given to one who set out on a journey to fulfill her duty long ago. The power of its former owner, the kindling maiden, is still apparent. The one who walks alongside flame, Shall one day meet the road of Destined Death."
Bloodstained Dagger,"Dagger with a bloodstained blade. Afflicts targets with blood loss. As blood darkened the dagger through repeated slashing and stabbing, its blade only grew sharper and harder."
Spiked Caestus,"A Caestus with the rivets replaced by blood loss-inducing spikes. Fists weapons come in pairs, and two-handing this weapon will it to both hands."
Caestus,"A weapon built for striking with the fists, made of tough leather inlaid with iron rivets. Fist weapons come in pairs, and two-handing this weapon will equip it to both hands."
Grafted Dragon,"The embodiment of the power that still remained in the dragon's head that was granted to Godrick's left arm. The wielder's arm will take the form of a small dragon, sprouting sharp dragon fangs at the fist. This weapon cannot be two-handed."
Iron Ball,"Iron manifer of spherical shape. Big Boggart the blackguard's weapon of choice. Not a weapon to be taken lightly, as its weighty blows shatter bones with ease."
Star Fist,Spherical iron manifer covered in spikes which induce blood loss.  Used in brutal games of pugilism.
Katar,Imported dagger design with a rather unique handle. The blade can be swung about as the extension of one's fist.
Clinging Bone,"Horrific weapon made of a hardened skeletal arm. Wielded by Ensha of the Royal Remains. Fitted by placing one's hands into the fists' grips until they dig in. """"O clinging creature. A king relinquishes not the hand."""""
Cipher Pata,"One of the weapons originating from the Two Fingers. A formless sequence of ciphers comprise its blade, and as such no shield can repel it. Deals holy damage. The furtive inscription appears to hang in the air; the language of light spoken by the Two Fingers."
Veteran's Prosthesis,"Bladed prosthetic leg enwreathed with the power of lightning, instead attached to the fist. Commander Niall, veteran of Castle Sol, offered this prosthesis in exchange for the lives of defeated knights held prisoner. He went on to lead these men as an army of no nation."
Nightrider Flail,"A flail with two additional bludgeoning heads.   Weapon of the Night's Cavalry who ride funeral steeds. The large spikes make it highly effective at inducing blood loss, but also demand higher dexterity to wield."
Flail,Weapon consisting of a bludgeoning head attached to a handle by chain. The iron ball is spiked and induces blood loss.  Blows from this weapon cannot be parried. The charge attack whirls the iron ball around for increased force before striking.
Family Heads,"Three bludgeoning copper heads attached to a handle by chains. Signature weapon of Necromancer Garris, the heretical sage. The heads were made to resemble those of his wife and two children."
Bastard's Stars,"Flail which deals magic damage, having been imbued with power by the remembrance of Astel. Formed of the same many-colored star debris that comprised the form of the Naturalborn of the Void."
Glintstone Staff,"Staff with a glintstone embedded at the tip. A catalyst for casting sorceries.  Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them."
Crystal Staff,"Staff fashioned from pure crystal; a deed impossible for a human. Enhances Crystalian sorceris. The Crystalian's faint cognition is know as the ""wisdom of stone."" This staff can only be weilded by those of intellect high enough to grasp such wisdom. "
Chainlink Flail,"A spiked iron tube attached by a chain wielded by Mad Pumpkin Heads. Especially large for a flail, wielding it requires more strength than it does dexterity."
Gelmir Glintstone Staff,"Staff with a forked tip, embedded with red glintstones. Enhances lava sorceries.  The Man-Serpents of Mt. Gelmir draw from faith in addition to intelligence to enhance the potency of their sorcery."
Demi-human Queen's Staff,"Glintstone staff styled as a scepter. A gift once given to the demi-humans to foster peace, it can be wielded even by those of low intelligence. Sneered at by fools in the academy."
Carian Regal Scepter,"Magic scepter of Rennala, Queen of the Full Moon. The glintstone is known as a Carian Blue, enhancing full moon sorceries. Only those of the highest intelligence may wield this, the finest of all glintstone staves."
Astrologer's Staff,"Staff of the astrologers. A glintsone is embedded in the tip, enabling it to be used as a catalyst for sorceries.  Sorceries must be memorized first at a site of lost grace, and a staff must be equipped to cast them. "
Digger's Staff,"Staff of a sorcerer-miner who extracts glintstone from crystal tunnels. The staff itself is a tool used to mine, and the ferrule is also embedded with a glintstone.   Boosts the power of Stonedigger sorceries"
Prince Of Death's Star,"Staff embedded with sullied amber, said to be a very part of the Prince of Death. Enhances death sorceries. One of the staves deemed heretical by the academy for its ability to allow sorceries to be augmented through faith in addition to intelligence."
Carian Glintblade Staff,"Staff embedded with a blue glintstone. One of two types of Carian staff. Gifted to enchanted knights, it enhances Glintblade sorceries."
Albinauric Staff,Short staff with a blue glintstone embedded. Wielded by the albinaurics of old.  The albinaurics harbor a secret; they cast sorcery with their innate arcaneness.
Academy Glintstone Staff,"Staff of the Academy of Raya Lucaria, embedded with a turquoise glintstone. Only a recognized sorcerer is permitted to wield this staff."
Carian Glintstone Staff,Staff embedded with a blue glintstone. One of two types of Carian staff. Given to sorcerers that they might enact the role of knight. Enhances Carian sword sorceries.
Azur's Glintstone Staff,"Staff of the primeval glintstone sorcerer Azur. Only those who have glimpsed what lies beyond the wisdom of stone may wield it. Reduces casting time of all sorceries, but consumes additional FP."
Lusat's Glintstone Staff,"Staff of the primeval glintstone sorcerer Lusat. Only those who have glimpsed what lies beyond the wisdom ofstone may wield it. Enhances power ofall sorceries, but consumes additional FP."
Meteorite Staff,"Staff embedded with a dark purple glintstone, said to be the fragment of a meteorite. Boasts high sorcery scaling and boosts gravity sorceries as well. However, this staff cannot be strengthened in any way. "
Staff Of The Guilty,"A heretical staff fashioned from a smoldering, withered sapling that turns the blood of sacrifices pierced by it into glinstone. Similar to hex magic. Sorceries are scaled with faith rather than intelligence when weilding this staff which enhances Thorn sorceries in particular."
Rotten Crystal Staff,Staff fashioned from pure crystal; a deed impossible for a human. It festers with scarlet rot. Enhances Crystalian sorceries.
Greataxe,"Greatxe akin to a huge lump of iron. Recognized as the weapon of choice of badland chieftains. Too heavy to be wielded by those of merely ordinary strength, blows from this axe will flatten enemies, and the force of its charged attack is a sight to behold. "
Great Omenkiller Cleaver,"The blade of this huge, loathsome cleaver comprises a row of amputated Omen horns. Weapon of slaughter wielded by Omen ktillers. The hideous horns cause blood loss, adding vibrant colors to the ongoing mayhem."
Staff Of Loss,"Staff missing its glintstone. Wielded by sorcerers who believe that discovery comes through acts of asceticism. This staff is only capable of casting invisibility sorceries, but that is reason enough for some to wield it."
Crescent Moon Axe,"Greataxe with a large, arcing blade and long handle. The ""Crescent Moon"" of its name is said to have been spurred by nostalgia. Specializes in sweeping through foes by making use of its long handle."
Axe Of Godrick,"Greataxe wielded by Godrick the Grafted. This golden battleaxe is emblazoned with the figure of a beast, representing the strength of Godfrey, First Elden Lord and patriarch of the golden lineage. ""I command thee kneel! For I am the lord of all that is golden!"""
Longhaft Axe,"Large iron axe with a long handle. Weapon of the maltreated Misbegotten. Making use of the force generated by its length, this weapon's resentment-charged blows are difficult to stop."
Executioner's Greataxe,"Bulky cleaver welded to a long haft. Said to have been used to dispatch the remnants of defeated armies, felling them like timber. Perhaps that is the reason it excels at critical hits. "
Rusted Anchor,"A rusty anchor wielded as a weapon. Each of its four flukes is thick and sharp, enabling piercing attacks. While the Tarnished left the Lands Between with their Kird, one boat alone was said to have been left behind."
Winged Greathorn,"A unique horn in which the power of ancestral spirit fiercly dwells, this large, wing-shaped specimen is wielded as weapon of spirit worship.  In the ancestral spirit-woshipping faith, these are considered envoys' wings, made to reap the lives of beings which experience no sprouting. "
Butchering Knife,"Huge carving knife made to cleanly butcher the human body. Signature weapon of the Ogress Anastasia, known to have eaten countless Tarnished while disguised as a Finger Maiden.  Restores a very small amount of HP when it squarely strikes an enemy."
Gargoyle's Great Axe,"Description  ""Bronze greataxe wielded by Valiant Gargoyle. Just like the wielder, the missing part have been mended with corpse wax; a patchwork of champions.""  "
Lion Greatbow,"Greatbow of black iron wielded by General Radahn. Decorated with a lion mane motif. Imbued with gravitational power of the Starscourge, when used along with .  Radahn's Spear, it becomes a true weapon of a champion. "
Erdtree Greatbow,"Greatbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Great Arrow. Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows."
Golem Greatbow,"Greatbow of black stone crafted by a civilization now gone to ruin. Weapon of the Guardian Golem. Extremely heavy, this greatbow requires enormous strength just to draw, suggesting it was not designed for human use. "
Greatbow,"Enormous greatbow larger than any man. Can not be drawn with any ordinary level of strength, but the force of its shots is extraordinary. A greatbow can only fire great arrows."
Mohgwyn's Sacred Spear,"Trident of Mohg, Lord of Blood. A sacred spear that will come to symbolize his dynasty. As well as serving as a weapon, it is an instrument of communion with an outer god who bestows power upon accursed blood. The mother of truth desires a wound. "
Siluria's Tree,"Siluria's Tree, weapon of one of the two honored as foremost among the Crucible Knights. The primordial form of the Erdtree is close in nature to life itself, and this spear, modeled on its crucible, is imbued with ancient holy essence. "
Vyke's War Spear,"War spear singed and blistered by fingers, used by Vyke, Knight of the Roundtable Hold. Like Vyke himself, it has been tormented by the yellow flame of frenzy from within."
Serpent-hunter,"Weapon that serves as both greatsword and spear. Thought to have been used to hunt an immortal great serpent in the distant past, it manifests a long blade of light when facing such a creature. When their master's heroic aspirations degenerated into mere greed, his men searched for a weapon with which they might halt their lord."
Lance,"Considered a type of greatspear, this weapon has no blade, but instead features a long, conical body designed to pierce. Though heavy and hard to wield, this weapon displays its worth in horseback combat whether mounted or even on foot."
Treespear,"Golden spear with tree-like design. Wielded by knights employed as palace guards in the Royal Capital of Leyndell. Deals only holy damage.  Requiring superior dexterity to wield, this greatspear can perform consecutive thrust attacks despite its larger size.  "
Bastard Sword,"A large sword with a straight blade. This heavy sword is normally wielded with two hands, but those with sufficient strength can wield it in one alone. The hefty blade can be swung into multiple foes at once thanks to the broad, sweeping attack, making fending off crowds all the easier."
Forked Greatsword,"Oddly shaped greatsword wielded by imps. The gently undulating forked blade is known as an ""imp's tongue""                   and causes blood loss."
Iron Greatsword,"Greatsword with a blade of unusually thick steel. A coarse weapon to which polishing is a foreign concept. Weighty even among others of its class, the impact of each strike is sure to be felt."
Lordsworn's Greatsword,"Well-crafted straight sword with an illustrious design, wielded by regulars of a lord's army. Through blackened and damaged by years of use, it appears to have otherwise been kept in a serviceable condition, despite the soldiers having long since lost their minds."
Knight's Greatsword,"Greatsword bestowed upon skilled swordsmen in the demigods' service, and yet had no rank or title. Featuring a long grip enabling a dual-handed use, this weapon was designed to dispatch larger foes. Being charged with such a duty was undoubtedly a great honor."
Flamberge,"Greatsword featuring a flame-like undulation. Shreds enemy flesh, inducing blood loss.  Scarlet rot is kept at bay with flame at Redmane Castle, and as such, this beloved sword of Jerren's eventually became the symbol of the castle itself."
Ordovis's Greatsword,"Greatsword of Ordovis, one of the two honored as foremost among the Crucible Knights. This sword is imbued with an ancient holy essence. Its red tint exemplifies the nature of primordial gold, said to be close in nature to life itself."
Alabaster Lord's Sword,"Greatsword forged from a blue-white meteoric ore. The blade conceals gravity-manipulating magic. A weapon unique to the Alabaster Lords, a race of ancients with skin of stone who were said to have risen to life when a meteor struck long ago."
Banished Knight's Greatsword,"A finely-crafted greatsword intricately engraved with an ancient motif. Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes. Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company."
